file_title,url,saved_as,status,error
File:Flag_of_the_Taliban.svg,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_the_Taliban.svg,Flag_of_the_Taliban.svg,downloaded,
File:Flag_of_Albania.svg,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg,Flag_of_Albania.svg,downloaded,
File:Flag_of_Germany.svg,https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Germany.svg,Flag_of_Germany.svg,downloaded,
File:Flag_of_Andorra.svg,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Andorra.svg,Flag_of_Andorra.svg,downloaded,
File:Flag_of_Angola.svg,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg,Flag_of_Angola.svg,downloaded,
File:Flag_of_Antigua_and_Barbuda.svg,https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Antigua_and_Barbuda.svg,Flag_of_Antigua_and_Barbuda.svg,downloaded,
File:Flag_of_Saudi_Arabia.svg,https://upload.wikimedia.org/wikipedia/commons/0/0d/Flag_of_Saudi_Arabia.svg,Flag_of_Saudi_Arabia.svg,downloaded,
File:Flag_of_Algeria.svg,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg,Flag_of_Algeria.svg,downloaded,
File:Flag_of_Argentina.svg,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,Flag_of_Argentina.svg,downloaded,
File:Flag_of_Armenia.svg,https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_Armenia.svg,Flag_of_Armenia.svg,downloaded,
File:Flag_of_Australia_(converted).svg,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg,Flag_of_Australia_(converted).svg,downloaded,
File:Flag_of_Austria.svg,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg,Flag_of_Austria.svg,downloaded,
